CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
CI028471,2,CI,9708291425,97,8,14,8,5,5,110,0,1,3,1,2,50,1,1,2,1,3,1,3,1,1,6,6,1,1
CI028471,2,CI,9708291425,97,8,14,8,5,5,110,0,1,3,1,2,50,1,1,2,1,3,2,5,4,3,8,20,3,1
CH041243,2,CH,9708290750,97,8,7,4,3,5,115,0,1,3,1,2,50,1,1,2,4,12,1,4,1,1,3,5,1,1
CG043164,2,CG,9708271940,97,8,19,10,7,3,114,0,1,3,2,2,50,2,4,2,4,16,1,4,1,1,3,5,1,1
C6100125,2,C6,9708271840,97,8,18,10,7,3,108,0,1,3,2,2,50,2,4,2,4,3,2,6,4,3,8,16,3,1
CC030411,2,CC,9708271855,97,8,18,10,7,3,111,0,2,3,2,2,50,2,5,2,4,12,1,3,1,4,6,9,1,1
CC030411,2,CC,9708271855,97,8,18,10,7,3,111,0,2,3,2,2,50,2,5,2,4,12,1,6,1,4,1,9,1,1
CC030411,2,CC,9708271855,97,8,18,10,7,3,111,0,2,3,2,2,50,2,5,2,4,12,2,2,4,3,8,20,3,2
CI027769,2,CI,9708272013,97,8,20,11,7,3,110,0,1,3,2,2,40,1,1,2,3,16,1,3,1,1,6,9,1,1
CE100908,2,CE,9708272140,97,8,21,11,8,3,116,0,3,3,2,2,40,1,1,2,4,15,1,5,1,1,6,9,1,1
CE100908,2,CE,9708272140,97,8,21,11,8,3,116,0,3,3,2,2,40,1,1,2,4,15,1,4,4,3,8,20,3,1
C7100905,2,C7,9708272130,97,8,21,11,8,3,104,0,1,3,2,2,50,1,1,2,2,16,1,3,1,1,6,9,1,1
